,内容,教師ラベル
0,まりさん、9月21日(金)の福岡→羽田便は16時代しか空席がないようです。最悪の場合は、まりさんとお母さんで21日の午前中の便で羽田に移動して、お父さんはえりちゃんとげんと一緒に22日の朝8時便で移動しようと思います。,0
1,まりさん、Lカウンターの前で待ってます。,0
2,落ち着いたら、かかった費用を連絡してくださいね。,0
3,"""まりさん、今日札幌に移動中です。色々ありがとう。",0
4,まりさん、福岡⇔羽田のオープンチケット買えないでしょうか。,0
5,"""4月1日は東京に引っ越してますか？",0
6,落ち着いたら、福岡⇔羽田のチケットよろしくお願いします。,0
7,チケット4/25までによろしくお願いします。,0
8,"""今回はゴールデンウィークに使おうと思っていましたが、空席がないようなのでプレミアムを買いました。",0
9,4/29は上野に泊まる予定で、品川か糀谷で19時半ころ夜ご飯食べませんか？,0
10,"""まりさん、先週は遠いところ来てくれてありがとうございました。",0
11,購入手続きよろしくお願いします,0
12,9月3日と4日にお母さんと富士山を見に行きます。4日は福岡行き14 :20で帰る予定で、その1時間前とかに空港でちょっと会えたりしますか？,0
13,4日はANA257で帰る予定です。,0
14,チケットは購入済みなので大丈夫です。,0
15,"""まりさん、元気ですか。",0
16,ありがとう。よろしくお願いします。,0
17,"""12月24日にお母さんと東京に行こうと思ってて、夜ご飯一緒に食べませんか。",0
18,1月2日に羽田空港第3ターミナルにできたホテルにお母さんと泊まる予定です。2日の夜ご飯一緒に食べませんか。,0
19,航空券を予約していましたが、もし二人分の福岡⇔羽田のオープンチケット買えるようでしたら、お願いしたいですが。,0
20,予約お願いします。それか、糀谷駅周辺の居酒屋でもいいです。,0
21,早めの時間でお願いします。(お願いします),0
22,お母さんがお店は夜景の見えるレストランでなくていいそうで、糀谷駅周辺の居酒屋でいいですよ。お任せします。,0
23,オープンは福岡からお母さんと二人分でお願いします。,0
24,1月2日は羽田第3にできたホテルに泊まりますが、夕方何時にどこで待ち合わせましょうか?,0
25,渋谷までの切符を買って改札内で待っていたらいいでしょうか。,0
26,15時にチェックインしてから17時までホテルにいると思います,0
27,まりさん、わざわざ羽田第3まで来なくていいので、待ち合わせは直接お店の入り口に18時30分にしましょう。,0
